cidade;estado;populacao;pib per capita;idh
abadia de goias;goias;6301;6185.54980469;0.708
abadia dos dourados;minas gerais;6805;10466.15039062;0.689
abadiania;goias;13378;6159.39990234;0.689
abaete;minas gerais;23258;10294.98046875;0.698
abaetetuba;para;139819;3263.19995117;0.628
abaiara;ceara;11077;3034.7199707;0.628
abaira;bahia;8821;3304.34008789;0.603
abare;bahia;18831;3007.05004883;0.575
abatia;parana;7928;7027.54980469;0.687
abdon batista;santa catarina;2805;12738.5;0.694
abel figueiredo;para;6967;6153.22021484;0.622
abelardo luz;santa catarina;16899;24420.9609375;0.696
abre campo;minas gerais;13177;7093;0.654
abreu e lima;pernambuco;96266;7762.12011719;0.679
abreulandia;tocantins;2321;7529.81982422;0.665
acaiaca;minas gerais;4234;5041.85986328;0.630
acailandia;maranhao;101130;12865.8203125;0.672
acajutiba;bahia;15192;4054.15991211;0.582
acara;para;48501;4957.06005859;0.506
acarape;ceara;15627;3592.06005859;0.606
acarau;ceara;54753;4209.18994141;0.601
acari;rio grande do norte;11215;5408.33007812;0.679
acaua;piaui;7354;3037.26000977;0.528
acegua;rio grande do sul;4347;26455.18945312;0.687
acopiara;ceara;50784;3329.5300293;0.595
acorizal;mato grosso;5659;9129.84960938;0.628
acrelandia;acre;12241;12345.40039062;0.604
acreuna;goias;19246;15220.5703125;0.686
acu;rio grande do norte;53282;5940.08984375;0.661
acucena;minas gerais;11409;4611.35986328;0.610
adamantina;sao paulo;34424;15451.8203125;0.790
adelandia;goias;2608;8038.10986328;0.702
adolfo;sao paulo;3710;18443.7109375;0.730
adrianopolis;parana;6856;9860.0703125;0.667
adustina;bahia;15448;5101.18017578;0.546
afogados da ingazeira;pernambuco;35528;4914.33007812;0.657
afonso bezerra;rio grande do norte;10594;3833.62988281;0.585
afonso claudio;espirito santo;31384;6779.25;0.667
afonso cunha;maranhao;5948;3439.94995117;0.529
afranio;pernambuco;17445;3753.37988281;0.588
afua;para;32633;3065.56005859;0.489
agrestina;pernambuco;22591;4745.27001953;0.592
agricolandia;piaui;5094;3132.65991211;0.599
agrolandia;santa catarina;9661;14392.05957031;0.725
agronomica;santa catarina;4925;16343.45996094;0.741
agua azul do norte;para;31216;6004.39990234;0.564
